Quarter,GDPC1,Gdpc1_shift,GDP_Diff,Recession_Sign,Recession_start,Second_Quarter,Third_Quarter,Recession_1,recession_end_1,Recession_2,Forth_Quarter,Fifth_Quarter,Sixth_Quarter,Final_Recession
2007Q3,15839.074412759257,,,,0,,,0,1,0,0,0,0,0
2007Q4,15949.872114069585,15839.074412759257,110.7977013103282,1.0,0,0.0,,0,1,0,0,0,0,0
2008Q1,16076.421628115724,15949.872114069585,126.54951404613894,1.0,0,0.0,0.0,0,1,0,0,0,0,0
2008Q2,16178.449585256401,16076.421628115724,102.02795714067724,1.0,0,0.0,0.0,0,0,0,0,0,0,0
2008Q3,16266.569979601778,16178.449585256401,88.12039434537655,1.0,0,0.0,0.0,0,0,0,0,0,0,0
2008Q4,16361.001228081313,16266.569979601778,94.4312484795355,1.0,0,0.0,0.0,0,0,0,0,0,0,0
2009Q1,16457.284026953854,16361.001228081313,96.2827988725403,1.0,0,0.0,0.0,0,0,0,0,0,0,0
2009Q2,16544.1120626263,16457.284026953854,86.82803567244628,1.0,0,0.0,0.0,0,0,0,0,0,0,0
2009Q3,16624.491755725823,16544.1120626263,80.37969309952314,1.0,0,0.0,0.0,0,0,0,0,0,0,0
2009Q4,16708.077372464693,16624.491755725823,83.58561673887016,1.0,0,0.0,0.0,0,0,0,0,0,0,0
