DATE,indu return,indu return trend,indu velocity,indu acceleration,Quarter
1975-03-31,0.009997,0.002954183333333333,-0.00018511388888888891,-0.00016587083333333326,1975Q1
1975-06-30,0.016996999999999998,0.00046124999999999964,-8.298055555555541e-05,-1.6659722222222136e-05,1975Q2
1975-09-30,-0.002856,0.00021882222222222218,-7.503333333333335e-05,2.8581944444444488e-05,1975Q3
1975-12-31,0.011297,0.001791466666666667,5.30138888888889e-05,2.375416666666665e-05,1975Q4
1976-03-31,0.016680999999999998,0.0003081277777777778,2.2038888888888867e-05,1.6556944444444453e-05,1976Q1
1976-06-30,0.012312,-8.633333333333317e-06,2.763055555555557e-05,-3.2940277777777756e-05,1976Q2
1976-09-30,0.008929,-0.00016501666666666662,0.00011618611111111114,-2.8513888888888903e-05,1976Q3
1976-12-31,0.017706,0.00017940555555555538,-5.1816666666666715e-05,-2.4968055555555526e-05,1976Q4
1977-03-31,0.009097,-0.0005024055555555555,6.483611111111117e-05,-5.511111111111125e-06,1977Q1
1977-06-30,0.015745,-0.00042393888888888893,-2.3222222222222248e-05,-5.655555555555557e-05,1977Q2
1977-09-30,0.021129,-0.0007016222222222223,-2.3077777777777767e-05,-0.00010695833333333336,1977Q3
1977-12-30,0.016896,-0.00069285,-6.877222222222211e-05,-8.612500000000053e-06,1977Q4
1978-03-31,0.011702999999999998,0.00139745,0.00019747222222222215,-3.474861111111107e-05,1978Q1
1978-06-30,0.010869,0.0008479500000000002,0.00010321944444444445,1.0944444444444229e-06,1978Q2
1978-09-29,0.018483,-0.0003317166666666667,-7.583333333333319e-06,5.611111111111398e-07,1978Q3
1978-12-29,0.016614,0.00019160000000000005,0.00012975833333333332,3.922638888888891e-05,1978Q4
1979-03-30,0.008676,-0.00013597222222222228,1.0863888888888853e-05,1.8058333333333333e-05,1979Q1
1979-06-29,0.013557999999999999,0.0003856500000000001,-4.866666666666661e-05,4.402777777777516e-07,1979Q2
1979-09-28,0.00409,-5.816666666666633e-05,-6.610555555555553e-05,9.448611111111105e-05,1979Q3
1979-12-31,0.016331,0.000783211111111111,-0.0001324277777777778,-6.104444444444442e-05,1979Q4
1980-03-31,0.027429000000000002,-0.0001030777777777777,9.339166666666666e-05,4.888055555555556e-05,1980Q1
1980-06-30,-0.000805,0.002068211111111111,5.533333333333432e-06,-4.14986111111111e-05,1980Q2
1980-09-30,0.026054,0.0007937333333333336,-9.689722222222221e-05,-0.0001280930555555556,1980Q3
1980-12-31,0.017006,0.000487338888888889,7.060555555555542e-05,2.958055555555551e-05,1980Q4
1981-03-31,0.025772,0.0007518111111111112,-1.3552777777777738e-05,2.87499999999946e-07,1981Q1
1981-06-30,0.006581,-0.0014321666666666667,-6.916944444444446e-05,1.892499999999993e-05,1981Q2
1981-09-30,0.018657999999999998,-0.0005038055555555555,2.8683333333333344e-05,7.452222222222218e-05,1981Q3
1981-12-31,0.018715,-0.00022904444444444452,-7.699444444444437e-05,1.4802777777777742e-05,1981Q4
1982-03-31,0.014797,-0.0002026888888888889,-7.108333333333334e-05,-6.053333333333329e-05,1982Q1
1982-06-30,0.016584,0.0007549333333333333,0.00017441388888888898,9.261944444444447e-05,1982Q2
1982-09-30,0.003774,0.002881194444444444,0.0001430083333333334,5.99291666666667e-05,1982Q3
1982-12-31,0.011648,0.001629611111111111,-3.223611111111146e-05,-2.5233333333333206e-05,1982Q4
1983-03-31,0.000542,0.0018922333333333335,-0.00011416666666666671,-0.00013770138888888903,1983Q1
1983-06-30,0.017976000000000002,0.00018327222222222234,-1.1555555555556318e-06,6.555138888888885e-05,1983Q2
1983-09-30,0.005620000000000001,0.0005536000000000002,0.0001314777777777778,5.229027777777778e-05,1983Q3
1983-12-30,0.010515000000000002,-0.0006630388888888888,-6.22555555555556e-05,1.567777777777783e-05,1983Q4
1984-03-30,0.006902,-0.0007950055555555555,4.092499999999998e-05,-3.940277777777777e-05,1984Q1
1984-06-29,0.01849,0.000644688888888889,-0.00010255277777777779,3.561527777777774e-05,1984Q2
1984-09-28,0.003838,0.000987938888888889,-0.00013271111111111113,1.6562499999999976e-05,1984Q3
1984-12-31,0.020255000000000002,0.0008342499999999999,-3.2750000000000064e-05,5.3416666666666836e-06,1984Q4
1985-03-29,0.01661,0.00049745,-6.991666666666724e-06,3.468611111111114e-05,1985Q1
1985-06-28,0.013662,0.0005671277777777778,-3.366388888888884e-05,4.246250000000006e-05,1985Q2
1985-09-30,0.017308,0.0009936055555555554,5.252777777777808e-06,7.149166666666677e-05,1985Q3
1985-12-31,0.008643,0.0025841833333333335,6.484444444444467e-05,-7.143055555555527e-06,1985Q4
1986-03-31,0.007196,0.0025250222222222224,-5.2299999999999916e-05,-4.951805555555562e-05,1986Q1
1986-06-30,0.012943,0.00039683888888888887,2.105000000000005e-05,8.77458333333333e-05,1986Q2
1986-09-30,0.016619,0.0011055666666666666,0.00012125555555555557,-5.7947222222222157e-05,1986Q3
1986-12-31,0.002321,0.002534872222222223,-2.2322222222221928e-05,-4.877222222222238e-05,1986Q4
